AeroDyn airfoil file Created with QBlade v0.963 64bit on 12.04.2020 at 19:12:08 Compatible with AeroDyn v13.0.
Polar "T1_Re0.100_M0.00_N9.0 360 M" on Foil "T1_Re0.100_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
50.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-3.64          Angle of attack for zero Cn for linear Cn curve (deg)
6.29913        Cn slope for zero lift for linear Cn curve (1/rad)
0.8376         Cn at stall value for positive angle of attack for linear Cn curve
-0.7899        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0120         Minimum CD value
     94.00    0.0449    1.8005
     95.00   -0.0016    1.7955
     96.00   -0.0481    1.7894
     97.00   -0.0946    1.7823
     98.00   -0.1409    1.7740
     99.00   -0.1871    1.7647
    100.00   -0.2330    1.7543
    101.00   -0.2785    1.7428
    102.00   -0.3237    1.7304
    103.00   -0.3684    1.7169
    104.00   -0.4126    1.7024
    105.00   -0.4562    1.6869
    106.00   -0.4992    1.6704
    107.00   -0.5414    1.6531
    108.00   -0.5855    1.6347
    109.00   -0.6261    1.6155
    110.00   -0.6658    1.5955
    111.00   -0.7045    1.5745
    112.00   -0.7422    1.5528
    113.00   -0.7789    1.5303
    114.00   -0.8144    1.5070
    115.00   -0.8487    1.4829
    116.00   -0.8818    1.4582
    117.00   -0.9137    1.4327
    118.00   -0.9441    1.4067
    119.00   -0.9733    1.3800
    120.00   -1.0010    1.3527
    121.00   -1.0272    1.3249
    122.00   -1.0520    1.2966
    123.00   -1.0753    1.2679
    124.00   -1.0970    1.2386
    125.00   -1.1171    1.2090
    126.00   -1.1356    1.1790
    127.00   -1.1524    1.1487
    128.00   -1.1676    1.1181
    129.00   -1.1812    1.0873
    130.00   -1.1930    1.0562
    131.00   -1.2031    1.0250
    132.00   -1.2116    0.9936
    133.00   -1.2183    0.9621
    134.00   -1.2233    0.9306
    135.00   -1.2266    0.8991
    136.00   -1.2282    0.8675
    137.00   -1.2281    0.8361
    138.00   -1.2263    0.8047
